
Player,Pts*,XPA,XPM,FGA,FGM,50+
Harrison Butker,12,153.00,48,45,38,34,3
Wil Lutz,9,150.00,49,48,36,32,3
Justin Tucker,8,143.00,59,57,29,28,1
Matt Gay,7,134.00,48,43,35,27,5
Zane Gonzalez,12,131.00,35,34,35,31,2
Dan Bailey,12,127.00,44,40,29,27,3
Matt Prater,5,127.00,36,35,31,26,7
Josh Lambo,10,126.00,20,19,34,33,4
Greg Zuerlein,9,124.00,42,42,33,24,5
Joey Slye,7,122.00,35,31,32,25,8
Brandon McManus,10,120.00,26,25,34,29,4
Chris Boswell,7,117.00,28,28,31,29,1
Jason Myers,11,113.00,44,40,28,23,2
Robbie Gould,4,110.00,42,41,31,23,0
Jason Sanders,5,110.00,30,29,30,23,3
Mason Crosby,11,108.00,41,40,24,22,1
Randy Bullock,9,107.00,25,24,31,27,1
Austin Seibert,7,107.00,35,30,29,25,1
Ka'imi Fairbairn,10,106.00,45,40,25,20,3
Brett Maher,8,104.00,36,36,30,20,4
Jake Elliott,10,103.00,37,35,26,22,2
Dustin Hopkins,10,100.00,22,21,30,25,2
Eddy Pineiro,6,100.00,29,27,28,23,2
Stephen Hauschka,6,98.00,32,30,28,22,1
Daniel Carlson,6,91.00,36,34,26,19,0
Sam Ficken,11,86.00,26,23,27,19,3
Younghoe Koo,10,86.00,16,15,26,23,1
Chase McLaughlin,6,86.00,26,26,23,18,3
Adam Vinatieri,6,77.00,28,22,25,17,2
Aldrick Rosas,11,71.00,39,35,17,12,0
Michael Badgley,12,58.00,19,19,16,13,0
Nick Folk,10,56.00,12,12,17,14,1
Kai Forbath,8,46.00,12,11,11,11,1
Matt Bryant,9,45.00,15,14,14,9,2
Stephen Gostkowski,10,32.00,15,11,8,7,0
Mike Nugent,10,30.00,16,15,8,5,0
Ryan Succop,11,27.00,25,24,6,1,0
Cairo Santos,11,26.00,12,12,9,4,1
Cody Parkey,11,16.00,6,5,3,3,1
Greg Joseph,7,9.00,9,9,0,0,0
