
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Patrick Mahomes,8,481.00,648,435,"5,250",41,12,2,61,358,4,1,1,6,0,0,0,0
Josh Allen,7,455.00,567,359,"4,283",35,14,1,124,762,7,1,0,0,0,0,5,0
Jalen Hurts,7,412.00,460,306,"3,701",22,6,0,165,760,13,2,0,0,0,0,2,0
Joe Burrow,10,411.00,606,414,"4,475",35,12,3,75,257,5,0,0,0,0,0,3,0
Geno Smith,11,352.00,572,399,"4,282",30,11,0,68,366,1,0,0,0,0,0,4,0
Kirk Cousins,7,343.00,643,424,"4,547",29,14,3,31,97,2,0,0,0,0,0,3,0
Trevor Lawrence,11,341.00,584,387,"4,113",25,8,3,62,291,5,0,0,0,0,0,9,0
Jared Goff,6,333.00,587,382,"4,438",29,7,1,29,73,0,1,1,5,0,0,4,0
Tom Brady,11,319.00,733,490,"4,694",25,9,2,29,-1,1,0,0,0,0,0,4,0
Justin Fields,14,319.00,318,192,"2,242",17,11,1,160,"1,143",8,0,0,0,0,0,2,0
Justin Herbert,8,318.00,699,477,"4,739",25,10,1,54,147,0,0,2,-10,0,0,3,0
Daniel Jones,9,308.00,472,317,"3,205",15,5,2,120,708,7,0,0,0,0,0,3,0
Aaron Rodgers,14,286.00,542,350,"3,695",26,12,2,34,94,1,0,0,0,0,0,4,0
Tua Tagovailoa,11,272.00,400,259,"3,548",25,8,0,24,70,0,0,0,0,0,0,1,0
Derek Carr,6,258.00,502,305,"3,522",24,14,0,24,102,0,0,0,0,0,0,0,0
Lamar Jackson,10,258.00,326,203,"2,242",17,7,1,112,764,3,0,0,0,0,0,2,0
Russell Wilson,9,241.00,483,292,"3,524",16,11,0,55,277,3,0,1,1,0,0,2,0
Dak Prescott,9,238.00,394,261,"2,860",23,15,0,45,182,1,0,0,0,0,0,1,0
Kyler Murray,13,222.00,390,259,"2,368",14,7,3,67,418,3,1,0,0,0,0,2,0
Marcus Mariota,14,218.00,300,184,"2,219",15,9,2,85,438,4,0,0,0,0,0,3,0
Davis Mills,6,208.00,479,292,"3,118",17,15,1,32,108,2,0,0,0,0,0,3,0
Andy Dalton,14,204.00,378,252,"2,871",18,9,1,30,54,0,0,0,0,0,0,1,0
Jimmy Garoppolo,9,192.00,308,207,"2,437",16,4,0,23,33,2,0,0,0,0,0,2,0
Mac Jones,10,188.00,442,288,"2,997",14,11,1,47,102,1,0,0,0,0,0,1,0
Jacoby Brissett,9,187.00,369,236,"2,608",12,6,0,49,243,2,0,0,0,0,0,4,0
Matt Ryan,14,181.00,461,309,"3,057",14,13,0,27,70,1,0,0,0,0,0,5,0
Ryan Tannehill,6,179.00,325,212,"2,536",13,6,1,34,98,2,0,0,0,0,0,2,0
Kenny Pickett,9,152.00,389,245,"2,404",7,9,2,55,237,3,0,0,0,0,0,1,0
Taylor Heinicke,14,138.00,259,161,"1,859",12,6,0,28,96,1,0,0,0,0,0,5,0
Baker Mayfield,7,134.00,335,201,"2,163",10,8,0,31,89,1,0,0,0,0,0,2,0
Brock Purdy,9,128.00,170,114,"1,374",13,4,0,22,13,1,0,0,0,0,0,0,0
