
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Derrick Henry,4,304.00,0,0,0,0,0,0,378,"2,027",17,1,19,114,0,0,2,0
Dalvin Cook,7,286.00,0,0,0,0,0,0,312,"1,557",16,3,44,361,1,0,3,0
Alvin Kamara,6,281.00,0,0,0,0,0,0,187,932,16,0,83,756,5,0,0,0
Jonathan Taylor,7,206.00,0,0,0,0,0,0,232,"1,169",11,0,36,299,1,0,1,0
Aaron Jones,5,200.00,0,0,0,0,0,0,201,"1,104",9,0,47,355,2,0,0,0
David Montgomery,11,198.00,0,0,0,0,0,0,247,"1,070",8,1,54,438,2,0,1,0
James Robinson,8,188.00,0,0,0,0,0,0,240,"1,070",7,1,49,344,3,0,1,0
Nick Chubb,9,184.00,0,0,0,0,0,0,190,"1,067",12,0,16,150,0,0,1,0
Josh Jacobs,6,184.00,0,0,0,0,0,0,273,"1,065",12,0,33,238,0,0,2,0
Kareem Hunt,9,168.00,0,0,0,0,0,0,198,841,6,0,38,304,5,0,0,0
Ezekiel Elliott,10,164.00,0,0,0,0,0,0,244,979,6,0,52,338,2,1,5,0
Melvin Gordon,5,159.00,0,0,0,0,0,0,215,986,9,0,32,158,1,0,4,0
Antonio Gibson,8,158.00,0,0,0,0,0,0,170,795,11,0,36,247,0,0,2,0
Kenyan Drake,8,155.00,0,0,0,0,0,0,239,955,10,0,25,137,0,0,1,0
Ronald Jones II,13,148.00,0,0,0,0,0,0,192,978,7,0,28,165,1,0,2,0
Chris Carson,6,141.00,0,0,0,0,0,0,141,681,5,0,37,287,4,0,0,0
J.K. Dobbins,7,141.00,0,0,0,0,0,0,134,805,9,1,18,120,0,1,0,0
Mike Davis,13,138.00,0,0,0,0,0,0,165,642,6,0,59,373,2,0,1,0
David Johnson,8,137.00,0,0,0,0,0,0,147,691,6,0,33,314,2,0,1,0
Miles Sanders,9,135.00,0,0,0,0,0,0,164,867,6,2,28,197,0,0,2,0
D'Andre Swift,5,135.00,0,0,0,0,0,0,114,521,8,0,46,357,2,0,2,0
Clyde Edwards-Helaire,10,129.00,0,0,0,0,0,0,181,803,4,0,36,297,1,0,0,0
Todd Gurley,10,126.00,0,0,0,0,0,0,195,678,9,0,25,164,0,0,0,0
Jeffery Wilson,11,125.00,0,0,0,0,0,0,126,600,7,0,13,133,3,0,2,0
James Conner,4,118.00,0,0,0,0,0,0,169,721,6,0,35,215,0,0,0,0
Nyheim Hines,7,118.00,0,0,0,0,0,0,89,380,3,1,63,482,4,0,0,0
Myles Gaskin,7,117.00,0,0,0,0,0,0,142,584,3,0,41,388,2,0,2,0
Gus Edwards,7,111.00,0,0,0,0,0,0,144,723,6,0,9,129,0,0,1,0
Wayne Gallman,11,104.00,0,0,0,0,0,0,147,682,6,0,21,114,0,0,0,0
Darrell Henderson,9,103.00,0,0,0,0,0,0,138,624,5,0,16,159,1,0,0,0
Austin Ekeler,6,102.00,0,0,0,0,0,0,116,530,1,0,54,403,2,0,0,0
Adrian Peterson,5,102.00,0,0,0,0,0,0,156,604,7,0,12,101,0,0,0,0
J.D. McKissic,8,100.00,0,0,0,0,0,0,85,365,1,0,80,589,2,0,1,0
Giovani Bernard,9,99.00,0,0,0,0,0,0,124,416,3,0,47,355,3,0,1,0
Chase Edmonds,8,99.00,0,0,0,0,0,0,97,448,1,0,53,402,4,0,0,0
Latavius Murray,6,99.00,0,0,0,0,0,0,146,656,4,0,23,176,1,0,0,0
Devin Singletary,11,95.00,0,0,0,0,0,0,156,687,2,0,38,269,0,0,1,0
Jamaal Williams,5,87.00,0,0,0,0,0,0,119,505,2,2,31,236,1,0,0,0
Leonard Fournette,13,86.00,0,0,0,0,0,0,97,367,6,0,36,233,0,0,0,0
Cam Akers,9,85.00,0,0,0,0,0,0,145,625,2,0,11,123,1,0,1,0
Jerick McKinnon,11,85.00,0,0,0,0,0,0,81,319,5,0,33,253,1,0,0,0
Damien Harris,5,82.00,0,0,0,0,0,0,137,691,2,0,5,52,0,0,0,0
Tony Pollard,10,81.00,0,0,0,0,0,0,101,435,4,0,28,193,1,0,0,0
Zack Moss,11,79.00,0,0,0,0,0,0,112,481,4,0,14,95,1,0,0,0
Raheem Mostert,11,79.00,0,0,0,0,0,0,104,521,2,0,16,156,1,0,1,0
Malcolm Brown,9,76.00,0,0,0,0,0,0,101,419,5,0,23,162,0,0,1,0
Frank Gore,10,76.00,0,0,0,0,0,0,187,653,2,0,16,89,0,0,1,0
Rex Burkhead,5,74.00,0,0,0,0,0,0,67,274,3,0,25,192,3,0,0,0
Joe Mixon,9,74.00,0,0,0,0,0,0,119,428,3,0,21,138,1,0,1,0
Christian McCaffrey,13,69.00,0,0,0,0,0,0,59,225,5,0,17,149,1,0,0,0
Alexander Mattison,7,66.00,0,0,0,0,0,0,96,434,2,0,13,125,1,0,0,0
Sony Michel,5,62.00,0,0,0,0,0,0,79,449,1,0,7,114,1,0,0,0
Carlos Hyde,6,60.00,0,0,0,0,0,0,81,356,4,0,16,93,0,0,0,0
Benjamin Snell,4,60.00,0,0,0,0,0,0,111,368,4,0,10,61,0,0,1,0
James White,5,59.00,0,0,0,0,0,0,35,121,2,0,49,375,1,0,0,0
Devontae Booker,6,58.00,0,0,0,0,0,0,93,423,3,0,17,84,0,0,0,0
Brian Hill,10,58.00,0,0,0,0,0,0,100,465,1,0,25,199,0,0,1,0
Boston Scott,9,58.00,0,0,0,0,0,0,80,374,1,0,25,212,1,0,0,0
Kalen Ballage,6,56.00,0,0,0,0,0,0,91,303,3,0,29,166,0,0,0,0
Salvon Ahmed,7,53.00,0,0,0,0,0,0,75,319,3,0,11,61,0,1,0,0
Phillip Lindsay,5,53.00,0,0,0,0,0,0,118,502,1,0,7,28,0,0,0,0
Le'Veon Bell,10,52.00,0,0,0,0,0,0,82,328,2,0,16,138,0,0,0,0
Kyle Juszczyk,11,52.00,0,0,0,0,0,0,17,64,2,0,19,202,4,0,0,0
Duke Johnson,8,51.00,0,0,0,0,0,0,77,235,1,0,28,249,1,0,2,0
Joshua Kelley,6,51.00,0,0,0,0,0,0,111,354,2,0,23,148,0,0,2,0
Samaje Perine,9,48.00,0,0,0,0,0,0,63,301,3,0,11,66,0,0,0,0
Kerryon Johnson,5,44.00,0,0,0,0,0,0,52,181,2,0,19,187,1,0,1,0
Peyton Barber,8,43.00,0,0,0,0,0,0,94,258,4,0,4,12,0,0,0,0
Mark Ingram,7,41.00,0,0,0,0,0,0,72,299,2,0,6,50,0,0,0,0
Justin Jackson,6,41.00,0,0,0,0,0,0,59,270,0,0,19,173,0,1,0,0
Ty Johnson,10,41.00,0,0,0,0,0,0,54,254,1,0,16,99,1,0,0,0
Jordan Wilkins,7,41.00,0,0,0,0,0,0,84,308,1,1,12,105,0,0,0,0
AJ Dillon,5,34.00,0,0,0,0,0,0,46,242,2,0,2,21,0,0,0,0
Lamical Perine,10,34.00,0,0,0,0,0,0,64,232,2,0,11,63,0,0,0,0
DeeJay Dallas,6,33.00,0,0,0,0,0,0,34,108,2,0,17,111,1,0,0,0
Dion Lewis,11,32.00,0,0,0,0,0,0,29,115,2,0,19,127,1,0,2,0
Ito Smith,10,31.00,0,0,0,0,0,0,63,268,1,0,17,75,0,0,0,0
Alfred Morris,11,30.00,0,0,0,0,0,0,55,238,1,0,3,19,1,0,0,0
Cordarrelle Patterson,11,30.00,0,0,0,0,0,0,64,232,1,0,21,132,0,0,0,0
Josh Adams,10,27.00,0,0,0,0,0,0,29,157,2,0,6,29,0,0,0,0
Devonta Freeman,11,27.00,0,0,0,0,0,0,54,172,1,0,7,58,0,0,0,0
Darrel Williams,10,27.00,0,0,0,0,0,0,39,169,1,0,18,116,0,1,0,0
Matt Breida,7,26.00,0,0,0,0,0,0,59,254,0,0,9,96,0,0,1,0
Jordan Howard,9,26.00,0,0,0,0,0,0,35,60,4,0,1,-3,0,0,0,0
Darwin Thompson,10,25.00,0,0,0,0,0,0,27,97,1,0,7,65,1,0,1,0
Jeremy McNichols,4,24.00,0,0,0,0,0,0,47,204,1,0,12,55,0,0,0,0
Jalen Richard,6,23.00,0,0,0,0,0,0,22,123,1,0,19,138,0,0,0,0
Rodney Smith,13,23.00,0,0,0,0,0,0,41,156,1,0,9,59,0,0,0,0
Antonio Williams,11,20.00,0,0,0,0,0,0,12,63,2,0,1,20,0,0,0,0
Ameer Abdullah,7,19.00,0,0,0,0,0,0,8,42,0,0,8,58,2,0,0,0
Royce Freeman,5,19.00,0,0,0,0,0,0,35,170,0,0,12,81,0,0,0,0
JaMycal Hasty,11,19.00,0,0,0,0,0,0,39,148,1,0,7,33,0,0,0,0
Travis Homer,6,19.00,0,0,0,0,0,0,25,88,0,0,9,90,1,0,0,0
Alex Collins,6,18.00,0,0,0,0,0,0,18,77,2,0,1,4,0,0,0,0
Chris Thompson,8,18.00,0,0,0,0,0,0,7,20,0,0,20,146,1,0,0,0
Ke'Shawn Vaughn,13,17.00,0,0,0,0,0,0,26,109,0,0,5,34,1,0,1,0
Dare Ogunbowale,8,16.00,0,0,0,0,0,0,32,145,0,0,10,54,0,0,0,0
C.J. Ham,7,15.00,0,0,0,0,0,0,5,18,0,0,8,97,1,0,0,0
Alec Ingold,6,14.00,0,0,0,0,0,0,3,4,0,0,12,110,1,0,0,0
D'Ernest Johnson,9,14.00,0,0,0,0,0,0,33,166,0,0,3,14,0,0,0,0
Trayveon Williams,9,14.00,0,0,0,0,0,0,26,157,0,0,5,30,0,0,1,0
T.J. Yeldon,11,14.00,0,0,0,0,0,0,10,70,0,0,1,22,1,0,0,0
Reggie Bonnafon,13,13.00,0,0,0,0,0,0,12,69,0,0,2,18,1,0,0,0
D'Onta Foreman,4,13.00,0,0,0,0,0,0,22,95,0,0,1,5,1,0,0,0
Malcolm Perry,7,13.00,0,0,0,0,0,0,3,5,0,0,9,92,1,0,0,0
Darrynton Evans,4,12.00,0,0,0,0,0,0,14,54,0,0,2,27,1,0,0,0
Gabe Nabers,6,12.00,0,0,0,0,0,0,2,7,0,0,5,25,2,0,0,0
Ryan Nall,11,11.00,0,0,0,0,0,0,3,0,0,0,8,67,1,0,0,0
Corey Clement,9,10.00,0,0,0,0,0,0,21,75,1,0,5,25,0,0,0,0
Tarik Cohen,11,10.00,0,0,0,0,0,0,14,74,0,0,6,41,0,0,0,0
LeSean McCoy,13,10.00,0,0,0,0,0,0,10,31,0,0,15,101,0,0,0,0
Mike Boone,7,9.00,0,0,0,0,0,0,11,59,1,0,2,10,0,0,0,0
Tyler Ervin,5,9.00,0,0,0,0,0,0,13,67,0,0,11,84,0,0,0,0
Troymaine Pope,6,9.00,0,0,0,0,0,0,15,76,0,0,8,42,0,0,0,0
J.J. Taylor,5,9.00,0,0,0,0,0,0,23,110,0,0,1,4,0,0,0,0
DeAndre Washington,7,9.00,0,0,0,0,0,0,31,91,0,0,5,30,0,0,0,0
Saquon Barkley,11,8.00,0,0,0,0,0,0,19,34,0,0,6,60,0,0,0,0
Jakob Johnson,5,8.00,0,0,0,0,0,0,0,0,0,0,8,35,1,0,0,0
Anthony McFarland,4,8.00,0,0,0,0,0,0,33,113,0,0,6,54,0,0,0,0
Artavis Pierce,11,8.00,0,0,0,0,0,0,6,34,1,0,0,0,0,0,0,0
Tevin Coleman,11,7.00,0,0,0,0,0,0,28,53,0,0,4,34,0,0,0,0
Reggie Gilliam,11,7.00,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0
C.J. Prosise,13,7.00,0,0,0,0,0,0,10,19,0,0,5,18,1,0,1,0
Patrick Ricard,7,7.00,0,0,0,0,0,0,1,-1,0,0,9,45,1,0,1,0
Jonathan Ward,8,7.00,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
Greg Howell,8,6.00,0,0,0,0,0,0,16,64,0,0,1,3,0,0,0,0
Patrick Laird,7,6.00,0,0,0,0,0,0,13,72,0,0,10,68,0,0,1,0
Anthony Sherman,10,6.00,0,0,0,0,0,0,3,8,0,0,1,5,1,0,0,0
Justice Hill,7,5.00,0,0,0,0,0,0,12,60,0,0,5,20,0,0,0,0
Marlon Mack,7,5.00,0,0,0,0,0,0,4,26,0,0,3,30,0,0,0,0
