
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Rob Gronkowski,9,152.00,0,0,0,0,0,0,0,0,0,0,69,"1,084",8,1,0,0
Travis Kelce,10,143.00,1,0,0,0,1,0,2,7,0,0,83,"1,038",8,0,0,0
Zach Ertz,10,123.00,0,0,0,0,0,0,0,0,0,0,74,824,8,0,1,0
Jimmy Graham,6,107.00,0,0,0,0,0,0,0,0,0,0,57,520,10,1,0,0
Evan Engram,8,103.00,0,0,0,0,0,0,1,14,0,0,64,722,6,0,0,0
Delanie Walker,8,97.00,0,0,0,0,0,0,2,-2,1,0,74,807,3,0,2,0
Kyle Rudolph,9,93.00,0,0,0,0,0,0,0,0,0,0,57,532,8,0,0,0
Cameron Brate,1,88.00,0,0,0,0,0,0,0,0,0,0,48,591,6,0,0,0
Jack Doyle,11,84.00,0,0,0,0,0,0,0,0,0,0,80,690,4,0,2,0
Hunter Henry,9,78.00,0,0,0,0,0,0,0,0,0,0,45,579,4,0,0,0
Tyler Kroft,6,76.00,0,0,0,0,0,0,0,0,0,0,42,404,7,0,0,0
Jason Witten,6,76.00,0,0,0,0,0,0,0,0,0,0,63,560,5,0,1,0
Vernon Davis,5,74.00,0,0,0,0,0,0,0,0,0,0,43,648,3,0,2,0
O.J. Howard,1,72.00,0,0,0,0,0,0,0,0,0,0,26,432,6,0,2,0
Jared Cook,10,71.00,0,0,0,0,0,0,0,0,0,0,54,688,2,0,1,0
Benjamin Watson,10,71.00,0,0,0,0,0,0,0,0,0,0,61,522,4,0,0,0
Eric Ebron,7,70.00,0,0,0,0,0,0,0,0,0,0,53,574,4,0,1,0
Charles Clay,6,63.00,0,0,0,0,0,0,0,0,0,0,49,558,2,0,0,0
Austin Hooper,5,62.00,0,0,0,0,0,0,0,0,0,0,49,526,3,0,0,0
George Kittle,11,58.00,0,0,0,0,0,0,0,0,0,0,43,515,2,0,0,0
Marcedes Lewis,8,58.00,0,0,0,0,0,0,0,0,0,0,24,318,5,1,0,0
David Njoku,9,56.00,0,0,0,0,0,0,1,1,0,0,32,386,4,0,0,0
Trey Burton,10,52.00,0,0,0,0,0,0,0,0,0,0,23,248,5,1,0,0
Garrett Celek,11,52.00,0,0,0,0,0,0,0,0,0,0,21,336,4,0,0,0
Julius Thomas,1,51.00,0,0,0,0,0,0,0,0,0,0,41,388,3,0,0,0
Jesse James,9,50.00,0,0,0,0,0,0,0,0,0,0,43,372,3,0,0,0
Austin Seferian-Jenkins,11,47.00,0,0,0,0,0,0,0,0,0,0,50,357,3,0,1,0
Antonio Gates,9,45.00,0,0,0,0,0,0,0,0,0,0,30,316,3,0,0,0
Ed Dickson,11,44.00,0,0,0,0,0,0,0,0,0,0,30,437,1,0,0,0
Seth Devalve,9,39.00,0,0,0,0,0,0,0,0,0,0,33,395,1,0,1,0
Coby Fleener,5,39.00,0,0,0,0,0,0,0,0,0,0,22,295,2,0,0,0
Jermaine Gresham,8,38.00,0,0,0,0,0,0,0,0,0,0,33,322,2,0,0,0
Nick O'Leary,6,37.00,0,0,0,0,0,0,0,0,0,0,22,322,2,0,1,0
Ricky Seals-Jones,8,37.00,0,0,0,0,0,0,0,0,0,0,12,201,3,0,0,0
Luke Willson,6,36.00,0,0,0,0,0,0,0,0,0,0,15,153,4,0,0,0
Stephen Anderson,7,35.00,0,0,0,0,0,0,0,0,0,0,25,342,1,0,0,0
A.J. Derby,1,32.00,0,0,0,0,0,0,0,0,0,0,21,244,2,0,1,0
Darren Fells,7,32.00,0,0,0,0,0,0,0,0,0,0,17,177,3,0,0,0
Rhett Ellison,8,31.00,0,0,0,0,0,0,0,0,0,0,24,235,2,0,0,0
