
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Davante Adams,5,239.00,0,0,0,0,0,0,0,0,0,0,115,"1,374",18,0,1,0
Tyreek Hill,10,230.00,0,0,0,0,0,0,13,123,2,0,87,"1,276",15,0,0,0
Stefon Diggs,7,193.00,0,0,0,0,0,0,1,1,0,0,127,"1,535",8,0,0,0
Calvin Ridley,10,188.00,0,0,0,0,0,0,5,1,0,0,90,"1,374",9,1,1,0
D.K. Metcalf,6,183.00,0,0,0,0,0,0,0,0,0,0,83,"1,303",10,0,1,0
Justin Jefferson,7,179.00,0,0,0,0,0,0,1,2,0,0,88,"1,400",7,2,0,0
Mike Evans,13,173.00,0,0,0,0,0,0,0,0,0,0,70,"1,006",13,0,0,0
Adam Thielen,7,172.00,0,0,0,0,0,0,3,15,0,0,74,925,14,1,0,0
DeAndre Hopkins,8,168.00,0,0,0,0,0,0,1,1,0,0,115,"1,407",6,0,2,0
A.J. Brown,4,167.00,0,0,0,0,0,0,0,0,0,0,70,"1,075",11,0,1,0
Tyler Lockett,6,160.00,0,0,0,0,0,0,0,0,0,0,100,"1,054",10,0,0,0
Allen Robinson,11,156.00,0,0,0,0,0,0,1,-1,0,0,102,"1,250",6,0,0,0
Robert Woods,9,146.00,0,0,0,0,0,0,24,155,2,0,90,936,6,0,1,0
Chase Claypool,4,145.00,0,0,0,0,0,0,10,16,2,0,62,873,9,0,1,0
Brandin Cooks,9,145.00,0,0,0,0,0,0,0,0,0,0,81,"1,150",6,0,0,0
Marvin Jones,5,144.00,0,0,0,0,0,0,0,0,0,0,76,978,9,0,0,0
Keenan Allen,6,140.00,1,0,0,0,0,0,1,-1,0,0,100,992,8,1,2,0
Amari Cooper,10,140.00,0,0,0,0,0,0,6,14,0,1,92,"1,114",5,0,0,0
D.J. Moore,13,139.00,1,0,0,0,0,0,2,22,0,0,66,"1,193",4,0,0,0
Will Fuller,8,132.00,0,0,0,0,0,0,1,0,0,0,53,879,8,0,0,0
Terry McLaurin,8,131.00,0,0,0,0,0,0,2,30,0,0,87,"1,118",4,0,1,0
Nelson Agholor,6,129.00,0,0,0,0,0,0,0,0,0,0,48,896,8,0,0,0
Diontae Johnson,4,128.00,0,0,0,0,0,0,3,15,0,0,88,923,7,0,1,0
JuJu Smith-Schuster,4,128.00,0,0,0,0,0,0,0,0,0,0,97,831,9,1,1,0
CeeDee Lamb,10,127.00,0,0,0,0,0,0,10,82,1,1,74,935,5,0,1,0
Robby Anderson,13,122.00,0,0,0,0,0,0,4,15,0,0,95,"1,096",3,1,1,0
Corey Davis,4,122.00,0,0,0,0,0,0,0,0,0,0,65,984,5,0,1,0
Curtis Samuel,13,122.00,0,0,0,0,0,0,41,200,2,0,77,851,3,0,0,0
Cole Beasley,11,121.00,1,1,20,1,0,0,0,0,0,0,82,967,4,0,0,0
Chris Godwin,13,120.00,0,0,0,0,0,0,0,0,0,0,65,840,7,0,0,0
Tee Higgins,9,120.00,0,0,0,0,0,0,5,28,0,0,67,908,6,0,1,0
Brandon Aiyuk,11,119.00,0,0,0,0,0,0,6,77,2,0,60,748,5,0,0,0
Marquise Brown,7,118.00,0,0,0,0,0,0,1,1,0,0,58,769,8,0,0,0
Cooper Kupp,9,111.00,0,0,0,0,0,0,4,33,0,0,92,974,3,0,1,0
Jarvis Landry,9,109.00,4,4,74,1,0,0,4,10,1,0,72,840,3,0,0,0
Jamison Crowder,10,108.00,1,1,43,1,0,0,1,14,0,0,59,699,6,0,0,0
Tyler Boyd,9,107.00,2,1,16,0,0,0,5,49,0,0,79,841,4,0,0,0
Michael Gallup,10,107.00,0,0,0,0,0,0,0,0,0,0,59,843,5,0,0,0
Russell Gage,10,104.00,2,1,39,1,0,0,2,9,0,0,72,786,4,0,0,0
Tim Patrick,5,103.00,0,0,0,0,0,0,0,0,0,0,51,742,6,0,0,0
T.Y. Hilton,7,102.00,0,0,0,0,0,0,0,0,0,0,56,762,5,1,0,0
Jerry Jeudy,5,100.00,0,0,0,0,0,0,0,0,0,0,52,856,3,1,0,0
DeVante Parker,7,98.00,0,0,0,0,0,0,0,0,0,0,63,793,4,0,0,0
Marquez Valdes-Scantling,5,98.00,0,0,0,0,0,0,4,13,0,0,33,690,6,0,1,0
Mike Williams,6,98.00,0,0,0,0,0,0,1,1,0,0,48,756,5,0,0,0
Emmanuel Sanders,6,96.00,0,0,0,0,0,0,1,12,0,0,61,726,5,0,0,0
D.J. Chark,8,95.00,0,0,0,0,0,0,0,0,0,0,53,706,5,0,0,0
Gabriel Davis,11,94.00,0,0,0,0,0,0,1,0,0,0,35,599,7,0,0,0
Christian Kirk,8,91.00,0,0,0,0,0,0,2,3,0,0,48,621,6,0,0,0
Julio Jones,10,90.00,0,0,0,0,0,0,0,0,0,0,51,771,3,0,0,0
Laviska Shenault,8,90.00,0,0,0,0,0,0,18,91,0,0,58,600,5,0,0,0
Sterling Shepard,11,88.00,0,0,0,0,0,0,6,49,1,0,66,656,3,1,0,0
Keelan Cole,8,86.00,0,0,0,0,0,0,1,2,0,0,55,642,5,0,0,0
Darius Slayton,11,86.00,0,0,0,0,0,0,2,-1,0,0,50,751,3,0,1,0
Zach Pascal,7,85.00,1,0,0,0,0,0,0,0,0,0,44,629,5,0,0,0
Darnell Mooney,11,82.00,0,0,0,0,0,0,4,20,0,0,61,631,4,1,0,0
Jakobi Meyers,5,79.00,2,2,43,2,0,0,2,9,0,0,59,729,0,1,1,0
Rashard Higgins,9,78.00,0,0,0,0,0,0,0,0,0,0,37,599,4,0,0,0
Mecole Hardman,10,77.00,0,0,0,0,0,0,4,31,0,0,41,560,4,1,2,0
Kendrick Bourne,11,75.00,0,0,0,0,0,0,0,0,0,0,49,667,2,1,0,0
David Moore,6,75.00,0,0,0,0,0,0,8,61,0,0,35,417,6,0,0,0
Travis Fulgham,9,72.00,0,0,0,0,0,0,0,0,0,0,38,539,4,0,0,0
Greg Ward,9,72.00,1,1,15,0,0,0,2,-4,0,0,53,419,6,1,0,0
