,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tom Brady,5,362.00,492,324,"3,900",36,4,0,31,30,1,0,0,0,0,0,1,0
Aaron Rodgers,10,349.00,475,312,"3,922",28,11,0,64,356,4,0,0,0,0,0,1,0
Peyton Manning,7,346.00,679,450,"4,700",33,17,0,18,18,0,0,0,0,0,0,1,0
Michael Vick,8,345.00,372,233,"3,018",21,6,1,100,676,9,0,0,0,0,0,3,0
Philip Rivers,10,334.00,541,357,"4,710",30,13,1,29,52,0,0,0,0,0,0,4,0
Drew Brees,10,331.00,658,448,"4,620",33,22,0,18,-3,0,0,1,7,0,0,2,0
Arian Foster,7,315.00,0,0,0,0,0,0,327,"1,616",16,0,66,604,2,0,2,0
Josh Freeman,4,299.00,474,291,"3,451",25,6,0,68,364,0,1,0,0,0,0,3,0
Matt Ryan,8,297.00,571,357,"3,705",28,9,2,46,122,0,0,0,0,0,0,3,0
Eli Manning,8,288.00,539,339,"4,002",31,25,0,32,70,0,0,0,0,0,0,5,0
Matt Schaub,7,288.00,574,365,"4,370",24,12,1,22,28,0,0,0,0,0,0,3,0
Joe Flacco,8,275.00,489,306,"3,622",25,10,0,43,84,1,0,0,0,0,0,4,0
Matt Cassel,4,272.00,450,262,"3,116",27,7,0,33,125,0,0,0,0,0,0,1,0
Carson Palmer,6,267.00,586,362,"3,970",26,20,1,32,50,0,0,0,0,0,0,3,0
David Garrard,9,258.00,366,236,"2,734",23,15,0,66,279,5,0,0,0,0,0,4,0
Jay Cutler,8,248.00,432,261,"3,274",23,16,1,50,232,1,0,0,0,0,0,6,0
Kyle Orton,9,244.00,498,293,"3,653",20,9,0,22,98,0,0,0,0,0,0,4,0
Ben Roethlisberger,5,238.00,389,240,"3,200",17,5,0,34,176,2,0,0,0,0,0,3,0
Ryan Fitzpatrick,6,236.00,441,255,"3,000",23,15,0,40,269,0,0,0,0,0,0,5,0
Adrian Peterson,4,233.00,0,0,0,0,0,0,283,"1,298",12,0,36,341,1,0,1,0
Mark Sanchez,7,226.00,507,278,"3,291",17,13,1,30,105,3,0,0,0,0,0,1,0
Jamaal Charles,4,225.00,0,0,0,0,0,0,230,"1,467",5,0,45,468,3,0,2,0
Peyton Hillis,8,223.00,2,1,13,0,0,0,270,"1,177",11,0,61,477,2,0,5,0
Sam Bradford,9,218.00,590,354,"3,512",18,15,0,27,63,1,0,0,0,0,0,2,0
Chris Johnson,9,218.00,0,0,0,0,0,0,316,"1,364",11,0,44,245,1,0,2,0
Darren McFadden,10,211.00,1,0,0,0,0,0,223,"1,157",7,0,47,507,3,0,3,0
LeSean McCoy,8,207.00,0,0,0,0,0,0,207,"1,080",7,0,78,592,2,0,1,0
Michael Turner,8,207.00,0,0,0,0,0,0,334,"1,371",12,0,12,85,0,0,2,0
Rashard Mendenhall,5,205.00,0,0,0,0,0,0,324,"1,273",13,0,23,167,0,0,2,0
Brandon Lloyd,9,203.00,0,0,0,0,0,0,1,-18,0,0,77,"1,448",11,0,0,0
Matt Forte,8,201.00,0,0,0,0,0,0,237,"1,069",6,0,51,547,3,1,2,0
Dwayne Bowe,4,200.00,0,0,0,0,0,0,1,4,0,0,72,"1,162",15,0,0,0
Ray Rice,8,200.00,0,0,0,0,0,0,307,"1,220",5,0,63,556,1,0,0,0
Donovan McNabb,9,194.00,472,275,"3,377",14,15,0,29,151,0,0,0,0,0,0,1,0
Roddy White,8,194.00,0,0,0,0,0,0,1,3,0,0,115,"1,389",10,2,1,0
Greg Jennings,10,193.00,0,0,0,0,0,0,1,-1,0,0,76,"1,265",12,0,0,0
Maurice Jones-Drew,9,188.00,1,0,0,0,1,0,299,"1,324",5,0,34,317,2,0,2,0
Ahmad Bradshaw,8,185.00,0,0,0,0,0,0,276,"1,235",8,1,47,314,0,0,6,0
Shaun Hill,7,185.00,416,257,"2,686",16,12,1,22,123,0,0,0,0,0,0,1,0
Steven Jackson,9,183.00,0,0,0,0,0,0,330,"1,241",6,0,46,383,0,0,1,0
Jon Kitna,4,183.00,318,209,"2,365",16,12,2,31,147,1,0,0,0,0,0,1,0
Calvin Johnson,7,182.00,0,0,0,0,0,0,4,32,0,0,77,"1,120",12,1,0,0
Mike Wallace,5,182.00,0,0,0,0,0,0,5,39,0,0,60,"1,257",10,0,0,0
Chad Henne,5,179.00,490,301,"3,301",15,19,0,35,52,0,0,0,0,0,0,2,0
BenJarvus Green-Ellis,5,176.00,0,0,0,0,0,0,229,"1,008",13,0,12,85,0,0,0,0
Jason Campbell,10,175.00,329,194,"2,387",13,8,0,47,222,1,0,0,0,0,0,1,0
Matt Hasselbeck,5,167.00,444,266,"3,001",12,17,0,23,60,3,0,0,0,0,0,5,0
Hakeem Nicks,8,165.00,0,0,0,0,0,0,0,0,0,0,79,"1,052",11,0,0,0
