,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Josh Allen,45.00,26,17,224,3,1,0,9,95,2,0,0,0,0,0,0,0
Dak Prescott,41.00,44,27,387,4,0,1,4,0,0,0,0,0,0,0,0,0
Jameis Winston,37.00,35,22,345,4,1,0,2,23,0,0,0,0,0,0,0,0
Tom Brady,34.00,33,24,250,4,0,0,0,0,0,0,0,0,0,0,0,0
Jared Goff,31.00,26,15,199,4,0,0,1,0,0,0,0,0,0,0,0,0
Matt Ryan,31.00,44,31,378,2,1,0,4,7,0,0,1,5,1,0,0,0
Blake Jarwin,29.00,0,0,0,0,0,0,0,0,0,0,7,119,3,0,0,0
Kyle Allen,28.00,27,16,228,2,0,0,5,19,1,0,0,0,0,0,0,0
Andrew Luck,28.00,35,24,285,3,1,0,7,17,0,0,0,0,0,0,0,0
Lamar Jackson,27.00,24,14,179,0,0,0,20,90,2,0,0,0,0,0,1,0
Baker Mayfield,27.00,42,23,376,3,3,0,0,0,0,0,0,0,0,0,0,0
Nick Mullens,25.00,33,23,282,3,3,1,1,-2,0,0,0,0,0,0,0,0
Chris Godwin,23.00,0,0,0,0,0,0,0,0,0,0,6,114,2,0,0,0
Tyreek Hill,23.00,0,0,0,0,0,0,1,15,1,0,5,101,1,0,0,0
Eli Manning,23.00,41,24,301,2,1,1,1,2,0,0,0,0,0,0,1,0
Mike Evans,22.00,0,0,0,0,0,0,0,0,0,0,6,106,2,0,0,0
Jordan Howard,22.00,0,0,0,0,0,0,21,109,2,0,1,5,0,0,0,0
Matthew Stafford,22.00,32,20,266,2,0,0,2,-2,0,0,0,0,0,0,0,0
C.J. Anderson,21.00,0,0,0,0,0,0,23,132,1,0,3,22,0,0,0,0
Zay Jones,21.00,0,0,0,0,0,0,0,0,0,0,6,93,2,0,0,0
Patrick Mahomes,21.00,24,14,281,2,1,0,2,1,0,0,0,0,0,0,0,0
Deshaun Watson,21.00,35,25,234,0,0,0,13,66,1,0,0,0,0,0,0,0
George Kittle,20.00,0,0,0,0,0,0,0,0,0,0,9,149,1,0,0,0
Saquon Barkley,19.00,0,0,0,0,0,0,17,109,1,0,4,33,0,0,0,0
Julio Jones,19.00,0,0,0,0,0,0,0,0,0,0,9,138,1,0,0,0
Chris Carson,18.00,0,0,0,0,0,0,19,122,1,0,1,7,0,0,0,0
Brandin Cooks,18.00,0,0,0,0,0,0,0,0,0,0,5,62,2,0,0,0
Nick Foles,18.00,33,28,221,2,1,0,2,4,0,0,0,0,0,0,0,0
Zach Zenner,18.00,0,0,0,0,0,0,21,93,1,0,1,30,0,0,0,0
Alfred Morris,17.00,0,0,0,0,0,0,16,111,1,0,1,4,0,0,0,0
Josh Reynolds,17.00,0,0,0,0,0,0,0,0,0,0,4,55,2,0,0,0
Nelson Agholor,16.00,0,0,0,0,0,0,0,0,0,0,5,40,2,0,0,0
Evan Engram,16.00,0,0,0,0,0,0,0,0,0,0,5,81,1,1,0,0
T.J. Jones,16.00,0,0,0,0,0,0,0,0,0,0,3,40,2,0,0,0
Jarvis Landry,16.00,0,0,0,0,0,0,0,0,0,0,5,102,1,0,0,0
Marlon Mack,16.00,0,0,0,0,0,0,25,119,1,0,3,-1,0,0,1,0
Cole Beasley,15.00,0,0,0,0,0,0,0,0,0,0,6,94,1,0,0,0
Ben Roethlisberger,15.00,45,31,287,1,1,0,3,3,0,0,0,0,0,0,0,0
Mohamed Sanu,15.00,1,1,5,1,0,0,1,2,0,0,7,90,0,0,0,0
Julian Edelman,14.00,0,0,0,0,0,0,2,24,0,0,5,69,1,0,0,0
DeAndre Hopkins,14.00,0,0,0,0,0,0,0,0,0,0,12,147,0,0,0,0
Case Keenum,14.00,48,31,292,1,1,0,3,8,0,0,0,0,0,0,1,0
Demarcus Robinson,14.00,0,0,0,0,0,0,0,0,0,0,1,89,1,0,0,0
Antonio Callaway,13.00,0,0,0,0,0,0,0,0,0,0,4,79,1,0,0,0
Dontrelle Inman,13.00,0,0,0,0,0,0,0,0,0,0,5,77,1,0,0,0
Cody Latimer,13.00,0,0,0,0,0,0,0,0,0,0,4,72,1,0,0,0
Curtis Samuel,13.00,0,0,0,0,0,0,0,0,0,0,2,72,1,0,0,0
Eric Ebron,12.00,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
Tyler Lockett,12.00,0,0,0,0,0,0,1,3,0,0,2,66,1,0,0,0
Ian Thomas,12.00,0,0,0,0,0,0,0,0,0,0,5,61,1,0,0,0
James White,12.00,0,0,0,0,0,0,4,30,0,0,4,39,1,0,0,0
Mike Williams,12.00,0,0,0,0,0,0,1,-11,0,0,5,65,1,0,0,0
Cameron Artis-Payne,11.00,0,0,0,0,0,0,16,56,1,0,2,2,0,0,0,0
Kendrick Bourne,11.00,0,0,0,0,0,0,0,0,0,0,5,59,1,0,0,0
Kirk Cousins,11.00,33,20,132,1,0,0,1,7,0,0,0,0,0,0,0,0
Mike Davis,11.00,0,0,0,0,0,0,7,44,1,0,2,12,0,0,0,0
Kenneth Dixon,11.00,0,0,0,0,0,0,12,117,0,0,1,2,0,0,0,0
Austin Ekeler,11.00,0,0,0,0,0,0,8,58,1,0,0,0,0,0,0,0
Alshon Jeffery,11.00,0,0,0,0,0,0,0,0,0,0,5,59,1,0,0,0
Lamar Miller,11.00,0,0,0,0,0,0,17,56,1,0,2,0,0,0,0,0
Damien Williams,11.00,0,0,0,0,0,0,11,51,1,0,1,8,0,0,0,0
Tevin Coleman,10.00,0,0,0,0,0,0,8,45,1,0,1,9,0,0,0,0
Stefon Diggs,10.00,0,0,0,0,0,0,0,0,0,0,8,47,1,0,0,0
Phillip Dorsett,10.00,0,0,0,0,0,0,2,16,0,0,5,34,1,0,0,0
Royce Freeman,10.00,0,0,0,0,0,0,17,60,0,0,8,43,0,0,0,0
Derrick Henry,10.00,0,0,0,0,0,0,16,93,0,0,1,13,0,0,0,0
Joe Mixon,10.00,0,0,0,0,0,0,13,105,0,0,1,2,0,0,0,0
Breshad Perriman,10.00,0,0,0,0,0,0,1,5,0,0,3,45,1,0,0,0
Brandon Powell,10.00,0,0,0,0,0,0,0,0,0,0,6,103,0,0,0,0
Rod Smith,10.00,0,0,0,0,0,0,12,35,1,0,2,14,0,0,0,0
Levine Toilolo,10.00,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
Dwayne Washington,10.00,0,0,0,0,0,0,11,108,0,0,0,0,0,0,0,0
Russell Wilson,10.00,21,12,152,1,1,0,2,-2,0,0,0,0,0,0,0,0
Teddy Bridgewater,9.00,22,14,118,1,1,0,4,12,0,0,0,0,0,0,0,0
James Conner,9.00,0,0,0,0,0,0,14,64,0,0,3,30,0,0,0,0
Kenyan Drake,9.00,0,0,0,0,0,0,11,43,0,0,5,52,0,0,0,0
Larry Fitzgerald,9.00,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0
Richie James,9.00,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
Andy Janovich,9.00,0,0,0,0,0,0,0,0,0,0,2,30,1,0,0,0
Doug Martin,9.00,0,0,0,0,0,0,21,100,0,0,1,1,0,0,1,0
LeSean McCoy,9.00,0,0,0,0,0,0,10,26,1,0,2,18,0,0,0,0
Calvin Ridley,9.00,0,0,0,0,0,0,0,0,0,0,5,32,1,0,0,0
Philip Rivers,9.00,24,14,176,1,2,0,1,0,0,0,0,0,0,0,0,0
Josh Rosen,9.00,34,18,149,1,0,0,0,0,0,0,0,0,0,0,2,0
Tre'Quan Smith,9.00,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
JuJu Smith-Schuster,9.00,0,0,0,0,0,0,0,0,0,0,5,37,1,0,0,0
Mitchell Trubisky,9.00,26,18,163,0,0,1,3,16,0,0,0,0,0,0,0,0
Josh Adams,8.00,0,0,0,0,0,0,11,50,0,0,3,33,0,0,0,0
Rex Burkhead,8.00,0,0,0,0,0,0,5,14,0,0,1,18,1,0,0,0
Tarik Cohen,8.00,0,0,0,0,0,0,5,24,1,0,2,8,0,0,0,0
Robert Foster,8.00,0,0,0,0,0,0,0,0,0,0,4,21,1,0,0,0
Blaine Gabbert,8.00,29,18,165,1,2,0,0,0,0,0,0,0,0,0,0,0
Wayne Gallman,8.00,0,0,0,0,0,0,6,23,1,0,1,7,0,0,0,0
Rashard Higgins,8.00,0,0,0,0,0,0,0,0,0,0,4,86,0,0,0,0
Chris Ivory,8.00,0,0,0,0,0,0,14,45,0,0,1,46,0,0,0,0
David Johnson,8.00,0,0,0,0,0,0,17,62,0,1,3,6,0,0,0,0
D.J. Moore,8.00,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
Kenny Stills,8.00,1,1,3,1,0,0,0,0,0,0,3,27,0,0,0,0
Luke Stocker,8.00,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
Deontay Burnett,7.00,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
Sam Darnold,7.00,28,16,167,0,0,0,1,28,0,0,0,0,0,0,1,0
Gus Edwards,7.00,0,0,0,0,0,0,12,76,0,0,0,0,0,0,0,0
Michael Gallup,7.00,0,0,0,0,0,0,0,0,0,0,3,50,0,1,0,0
Taysom Hill,7.00,0,0,0,0,0,0,3,11,1,0,1,3,0,0,0,0
DeShone Kizer,7.00,35,16,132,0,1,0,4,40,0,0,0,0,0,0,0,0
Jordy Nelson,7.00,0,0,0,0,0,0,0,0,0,0,9,78,0,0,0,0
Wendell Smallwood,7.00,0,0,0,0,0,0,12,53,0,0,4,24,0,0,0,0
Keenan Allen,6.00,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
Peyton Barber,6.00,0,0,0,0,0,0,15,66,0,0,1,2,0,0,0,0
Alex Erickson,6.00,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
Taylor Gabriel,6.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
Melvin Gordon,6.00,0,0,0,0,0,0,10,42,0,0,3,24,0,0,0,0
Ryan Hewitt,6.00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
T.Y. Hilton,6.00,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0
Chris Hogan,6.00,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0
Austin Hooper,6.00,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
Adam Humphries,6.00,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
Travis Kelce,6.00,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
David Njoku,6.00,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
Sterling Shepard,6.00,0,0,0,0,0,0,1,9,0,0,4,67,0,0,0,0
Nate Sudfeld,6.00,1,1,22,1,0,0,2,-2,0,0,0,0,0,0,0,0
Ryan Tannehill,6.00,31,18,147,0,2,0,2,9,0,0,1,3,1,0,1,0
James Washington,6.00,0,0,0,0,0,0,0,0,0,0,3,64,0,0,0,0
Mark Andrews,5.00,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0
Dalvin Cook,5.00,0,0,0,0,0,0,11,39,0,0,4,21,0,0,0,0
Andy Jones,5.00,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0
Elijah McGuire,5.00,0,0,0,0,0,0,18,41,0,0,2,24,0,0,1,0
Sony Michel,5.00,0,0,0,0,0,0,14,50,0,0,0,0,0,0,0,0
Eli Rogers,5.00,0,0,0,0,0,0,1,-4,0,0,7,57,0,0,0,0
Chad Williams,5.00,0,0,0,0,0,0,1,9,0,0,5,51,0,0,0,0
Keelan Cole,4.00,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
Corey Davis,4.00,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
Jeff Driskel,4.00,24,12,95,0,0,0,2,13,0,0,0,0,0,0,0,0
DaeSean Hamilton,4.00,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0
Allen Hurns,4.00,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0
Hayden Hurst,4.00,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0
