
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
Kansas City Chiefs,10,246.00,47.0,21,0,15,0,11,305,247.6,120.2,367.8
Seattle Seahawks,12,236.00,44.0,28,2,11,1,4,231,172.0,101.6,273.6
Carolina Panthers,4,230.00,60.0,20,0,10,1,4,241,214.3,86.9,301.2
Cincinnati Bengals,12,208.00,43.0,20,0,11,3,7,305,209.0,96.5,305.5
San Francisco 49ers,9,205.00,38.0,18,1,12,2,5,272,221.0,95.9,316.9
Arizona Cardinals,9,199.00,47.0,20,2,10,2,5,324,233.0,84.4,317.4
St. Louis Rams,11,188.00,53.0,14,1,15,1,6,364,242.1,102.9,345.0
Indianapolis Colts,8,172.00,42.0,15,2,12,2,2,336,231.9,125.1,357.1
New England Patriots,10,171.00,48.0,17,0,12,1,3,338,239.0,134.1,373.1
Buffalo Bills,12,165.00,57.0,23,0,7,0,3,388,204.4,128.9,333.4
Philadelphia Eagles,12,160.00,37.0,19,2,12,1,2,382,289.8,104.2,394.0
Denver Broncos,9,159.00,41.0,17,0,9,2,5,399,254.4,101.6,356.0
Dallas Cowboys,11,158.00,34.0,15,0,13,1,6,432,286.8,128.5,415.3
Miami Dolphins,6,158.00,42.0,18,1,6,2,2,335,234.5,124.9,359.4
Baltimore Ravens,8,158.00,40.0,16,0,8,0,3,352,230.1,105.4,335.5
New York Giants,9,158.00,34.0,17,0,12,1,3,383,223.3,108.9,332.2
Tampa Bay Buccaneers,5,155.00,35.0,21,1,10,2,3,389,237.9,110.1,348.0
Pittsburgh Steelers,5,152.00,34.0,10,1,10,1,4,370,222.1,115.6,337.6
Tennessee Titans,8,148.00,36.0,13,0,12,2,3,381,225.8,112.2,337.9
New Orleans Saints,7,146.00,49.0,12,0,7,0,0,304,194.1,111.6,305.7
Chicago Bears,8,143.00,31.0,19,0,9,0,7,478,233.1,161.4,394.6
Cleveland Browns,10,141.00,40.0,14,0,7,0,5,406,221.1,111.3,332.4
Detroit Lions,9,138.00,33.0,15,2,7,0,4,376,246.9,99.8,346.6
Green Bay Packers,4,137.00,44.0,11,0,11,2,3,428,247.2,125.0,372.2
Oakland Raiders,7,136.00,38.0,9,0,13,4,4,453,255.8,107.9,363.7
Washington Redskins,5,133.00,36.0,16,0,10,0,5,478,243.5,110.6,354.1
New York Jets,10,133.00,41.0,13,1,2,2,2,387,246.7,88.2,334.9
San Diego Chargers,8,126.00,35.0,11,0,6,2,1,348,258.7,107.8,366.5
Minnesota Vikings,5,121.00,41.0,12,0,8,0,4,480,287.2,110.4,397.6
Jacksonville Jaguars,9,119.00,31.0,11,3,10,1,2,449,247.6,131.8,379.4
Atlanta Falcons,6,104.00,32.0,10,0,11,0,3,443,243.6,135.8,379.4
Houston Texans,8,93.00,32.0,7,1,4,2,2,428,195.2,122.4,317.6
