
Player,Pts*,XPA,XPM,FGA,FGM,50+
Greg Zuerlein,8,170.00,46,44,40,38,6
Stephen Gostkowski,9,164.00,47,45,40,37,4
Matt Bryant,5,153.00,35,35,39,34,8
Robbie Gould,11,153.00,30,28,41,39,4
Justin Tucker,10,151.00,39,39,37,34,5
Chris Boswell,9,150.00,39,37,38,35,4
Harrison Butker,11,150.00,28,28,42,38,4
Wil Lutz,5,148.00,50,47,36,31,4
Matt Prater,7,144.00,41,40,35,30,7
Kai Forbath,9,142.00,39,34,38,32,6
Ryan Succop,8,140.00,33,31,42,35,2
Stephen Hauschka,6,130.00,29,29,33,29,7
Phil Dawson,8,127.00,26,23,40,32,4
Jake Elliott,6,127.00,42,39,31,26,5
Graham Gano,11,121.00,37,34,30,29,0
Adam Vinatieri,11,119.00,24,22,34,29,5
Chandler Catanzaro,11,108.00,29,29,30,25,2
Brandon McManus,5,105.00,27,27,32,24,3
Blair Walsh,6,100.00,38,37,29,21,0
Ka'imi Fairbairn,7,98.00,35,32,25,20,3
Cody Parkey,9,91.00,29,26,23,21,1
Randy Bullock,6,87.00,33,31,20,18,1
Giorgio Tavecchio,10,87.00,34,33,21,16,3
Josh Lambo,9,83.00,24,22,20,19,2
Patrick Murray,5,82.00,22,21,23,19,2
Mason Crosby,8,80.00,35,33,19,15,1
Aldrick Rosas,8,80.00,23,20,25,18,3
Dan Bailey,6,77.00,28,26,20,15,3
Zane Gonzalez,9,74.00,26,25,20,15,2
Dustin Hopkins,5,60.00,19,18,17,14,0
Nick Rose,9,58.00,26,23,14,11,1
Connor Barth,9,52.00,17,17,16,11,1
Mike Nugent,9,50.00,17,15,13,11,1
Jason Myers,8,48.00,17,15,15,11,0
Nick Novak,7,46.00,18,17,13,9,1
Nick Folk,1,27.00,9,7,11,6,1
Travis Coons,8,26.00,6,5,8,7,0
Cairo Santos,9,26.00,14,14,5,4,0
Younghoe Koo,9,18.00,9,9,6,3,0
Caleb Sturgis,10,12.00,2,1,3,3,1
Sam Ficken,10,10.00,5,4,3,2,0
Marshall Koehn,6,1.00,1,1,0,0,0
Jon Ryan,6,0.00,0,0,0,0,0
