
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
David Johnson,9,316.00,0,0,0,0,0,0,293,"1,239",16,0,80,879,4,1,3,0
Ezekiel Elliott,7,281.00,0,0,0,0,0,0,322,"1,631",15,0,32,363,1,0,1,0
LeSean McCoy,10,238.00,0,0,0,0,0,0,234,"1,267",13,1,50,356,1,0,0,0
Le'Veon Bell,8,232.00,1,0,0,0,0,0,261,"1,268",7,0,75,616,2,1,1,0
DeMarco Murray,13,232.00,2,1,10,1,0,0,293,"1,287",9,0,53,377,3,0,1,0
LeGarrette Blount,9,219.00,0,0,0,0,0,0,299,"1,161",18,0,7,38,0,0,1,0
Devonta Freeman,11,217.00,0,0,0,0,0,0,227,"1,079",11,0,54,462,2,0,1,0
Melvin Gordon,11,201.00,0,0,0,0,0,0,254,997,10,0,41,419,2,0,2,0
Jordan Howard,9,190.00,0,0,0,0,0,0,252,"1,313",6,0,29,298,1,0,1,0
Mark Ingram,5,183.00,0,0,0,0,0,0,205,"1,043",6,2,46,319,4,0,2,0
Jay Ajayi,8,178.00,0,0,0,0,0,0,260,"1,272",8,0,27,151,0,0,1,0
Frank Gore,10,165.00,0,0,0,0,0,0,263,"1,025",4,0,38,277,4,0,1,0
Latavius Murray,10,165.00,0,0,0,0,0,0,195,788,12,0,33,264,0,0,1,0
Carlos Hyde,8,157.00,0,0,0,0,0,0,217,988,6,1,27,163,3,0,3,0
Isaiah Crowell,13,155.00,0,0,0,0,0,0,198,952,7,0,40,319,0,0,2,0
Spencer Ware,5,150.00,0,0,0,0,0,0,214,921,3,0,33,447,2,0,3,0
Lamar Miller,9,149.00,0,0,0,0,0,0,268,"1,073",5,0,31,188,1,0,1,0
Tevin Coleman,11,148.00,0,0,0,0,0,0,118,520,8,0,31,421,3,0,0,0
Jeremy Hill,9,147.00,0,0,0,0,0,0,222,839,9,0,21,174,0,0,0,0
Matt Forte,11,142.00,0,0,0,0,0,0,218,813,7,0,30,263,1,0,1,0
Todd Gurley,8,142.00,0,0,0,0,0,0,278,885,6,0,43,327,0,0,1,0
Jonathan Stewart,7,131.00,0,0,0,0,0,0,218,824,9,0,8,60,0,0,2,0
Bilal Powell,11,129.00,0,0,0,0,0,0,131,722,3,0,58,388,2,0,1,0
Ryan Mathews,4,127.00,0,0,0,0,0,0,155,661,8,2,13,115,1,0,2,0
Terrance West,8,124.00,0,0,0,0,0,0,193,774,5,0,34,236,1,0,0,0
Mike Gillislee,10,111.00,0,0,0,0,0,0,101,577,8,0,9,50,1,0,0,0
Rob Kelley,9,110.00,0,0,0,0,0,0,168,704,6,0,12,82,1,0,0,0
Christine Michael,4,106.00,0,0,0,0,0,0,148,583,7,0,22,107,1,0,1,0
Devontae Booker,11,101.00,0,0,0,0,0,0,174,612,4,0,31,265,1,0,3,0
Theo Riddick,10,99.00,0,0,0,0,0,0,92,357,1,0,53,371,5,0,0,0
Darren Sproles,4,97.00,0,0,0,0,0,0,94,438,2,0,52,427,2,0,0,0
Jerick McKinnon,6,95.00,1,0,0,0,0,0,159,539,2,1,43,255,2,0,0,0
Tim Hightower,5,92.00,0,0,0,0,0,0,133,548,4,0,22,200,1,0,0,0
Rashad Jennings,8,92.00,0,0,0,0,0,0,181,593,3,0,35,201,1,0,0,0
Matt Asiata,6,91.00,0,0,0,0,0,0,121,402,6,0,32,263,0,0,1,0
James White,9,91.00,0,0,0,0,0,0,39,166,0,0,60,551,5,0,0,0
Chris Thompson,9,87.00,0,0,0,0,0,0,68,356,3,0,49,349,2,0,1,0
Derrick Henry,13,85.00,0,0,0,0,0,0,110,490,5,0,13,137,0,0,0,0
C.J. Anderson,11,80.00,0,0,0,0,0,0,110,437,4,0,16,128,1,0,0,0
Duke Johnson,13,79.00,1,0,0,0,0,0,73,358,1,0,53,514,0,0,1,0
Jalen Richard,10,77.00,0,0,0,0,0,0,83,491,1,0,29,194,2,0,0,0
DeAngelo Williams,8,77.00,0,0,0,0,0,0,98,343,4,0,18,118,2,0,0,0
T.J. Yeldon,5,76.00,0,0,0,0,0,0,130,465,1,0,50,312,1,0,1,0
