
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Travis Kelce,8,199.00,0,0,0,0,0,0,2,5,0,0,110,"1,338",12,1,1,0
George Kittle,9,134.00,0,0,0,0,0,0,0,0,0,0,60,765,11,0,1,0
Taysom Hill,14,127.00,19,13,240,2,0,0,96,575,7,0,9,77,2,0,0,0
T.J. Hockenson,7,121.00,0,0,0,0,0,0,0,0,0,0,86,914,6,2,1,0
Mark Andrews,10,111.00,0,0,0,0,0,0,3,8,0,0,73,847,5,1,0,0
Evan Engram,11,95.00,0,0,0,0,0,0,2,13,0,0,73,766,4,1,0,0
Cole Kmet,14,90.00,0,0,0,0,0,0,2,9,0,0,50,544,7,0,0,0
Juwan Johnson,14,88.00,0,0,0,0,0,0,0,0,0,0,42,508,7,0,0,0
Dallas Goedert,7,83.00,0,0,0,0,0,0,0,0,0,0,55,702,3,0,1,0
Dawson Knox,7,82.00,0,0,0,0,0,0,0,0,0,0,48,517,6,0,0,0
Dalton Schultz,9,81.00,0,0,0,0,0,0,0,0,0,0,57,577,5,0,1,0
Pat Freiermuth,9,78.00,0,0,0,0,0,0,0,0,0,0,63,732,2,0,0,0
David Njoku,9,78.00,0,0,0,0,0,0,2,-8,0,0,58,628,4,0,1,0
Jordan Akins,6,75.00,0,0,0,0,0,0,0,0,0,0,37,495,5,1,1,0
Gerald Everett,8,75.00,0,0,0,0,0,0,1,0,0,0,58,555,4,1,0,0
Tyler Higbee,7,74.00,0,0,0,0,0,0,0,0,0,0,72,620,3,0,0,0
Tyler Conklin,10,66.00,0,0,0,0,0,0,2,3,0,0,58,552,3,0,0,0
Noah Fant,11,66.00,0,0,0,0,0,0,0,0,0,0,50,486,4,0,0,0
Zach Ertz,13,65.00,0,0,0,0,0,0,0,0,0,0,47,406,4,2,0,0
Mike Gesicki,11,60.00,0,0,0,0,0,0,0,0,0,0,32,362,5,0,0,0
Chigoziem Okonkwo,6,60.00,0,0,0,0,0,0,3,2,0,0,32,450,3,1,0,0
Hunter Henry,10,59.00,0,0,0,0,0,0,0,0,0,0,41,509,2,0,0,0
Darren Waller,6,53.00,0,0,0,0,0,0,0,0,0,0,28,388,3,0,0,0
Robert Tonyan,14,52.00,0,0,0,0,0,0,0,0,0,0,53,470,2,0,0,0
Greg Dulcich,9,50.00,0,0,0,0,0,0,0,0,0,0,33,411,2,0,0,0
Isaiah Likely,10,50.00,0,0,0,0,0,0,0,0,0,0,36,373,3,0,0,0
Foster Moreau,6,49.00,0,0,0,0,0,0,0,2,0,0,33,420,2,0,1,0
Austin Hooper,6,48.00,0,0,0,0,0,0,0,0,0,0,41,444,2,0,0,0
Will Dissly,11,47.00,0,0,0,0,0,0,0,0,0,0,34,349,3,0,0,0
Hayden Hurst,10,47.00,0,0,0,0,0,0,0,0,0,0,52,414,2,0,0,0
Cade Otton,11,44.00,0,0,0,0,0,0,0,0,0,0,42,391,2,0,0,0
Jelani Woods,14,43.00,0,0,0,0,0,0,0,0,0,0,25,312,3,0,0,0
Brock Wright,6,42.00,0,0,0,0,0,0,0,0,0,0,18,216,4,0,0,0
Daniel Bellinger,9,41.00,0,0,0,0,0,0,1,2,1,0,30,268,2,1,1,0
Kyle Pitts,14,41.00,0,0,0,0,0,0,0,0,0,0,28,356,2,0,0,0
Colby Parkinson,11,38.00,0,0,0,0,0,0,0,0,0,0,25,322,2,0,0,0
Noah Gray,8,36.00,0,0,0,0,0,0,1,1,1,0,28,299,1,0,0,0
MyCole Pruitt,14,34.00,0,0,0,0,0,0,0,0,0,0,16,150,4,0,0,0
Logan Thomas,14,32.00,0,0,0,0,0,0,0,0,0,0,39,323,1,0,0,0
Mo Alie-Cox,14,30.00,0,0,0,0,0,0,0,0,0,0,19,189,3,0,1,0
Tommy Tremble,13,30.00,0,0,0,0,0,0,0,0,0,0,19,174,3,0,1,0
C.J. Uzomah,10,30.00,0,0,0,0,0,0,0,0,0,0,21,232,2,0,0,0
Trey McBride,13,28.00,0,0,0,0,0,0,0,0,0,0,29,265,1,0,0,0
Peyton Hendershot,9,27.00,0,0,0,0,0,0,1,2,1,0,11,103,2,0,0,0
Irv Smith,7,27.00,0,0,0,0,0,0,0,0,0,0,25,182,2,0,0,0
Shane Zylstra,6,27.00,0,0,0,0,0,0,0,0,0,0,11,60,4,0,0,0
Jake Ferguson,9,25.00,0,0,0,0,0,0,0,0,0,0,19,174,2,0,0,0
Kylen Granson,14,24.00,0,0,0,0,0,0,1,0,0,0,31,302,0,0,0,0
Josh Oliver,10,23.00,0,0,0,0,0,0,0,0,0,0,14,149,2,0,0,0
Harrison Bryant,9,22.00,0,0,0,0,0,0,1,8,0,0,31,239,1,0,0,0
O.J. Howard,6,22.00,0,0,0,0,0,0,0,0,0,0,10,145,2,0,0,0
Teagan Quitoriano,6,22.00,0,0,0,0,0,0,0,0,0,0,7,113,2,0,0,0
Jonnu Smith,10,22.00,0,0,0,0,0,0,1,5,0,0,27,245,0,0,0,0
Durham Smythe,11,20.00,0,0,0,0,0,0,2,1,1,0,15,129,1,0,0,0
Adam Trautman,14,20.00,0,0,0,0,0,0,0,0,0,0,18,207,1,0,0,0
Joe Fortson,8,19.00,0,0,0,0,0,0,0,0,0,0,9,108,2,0,1,0
Connor Heyward,9,19.00,0,0,0,0,0,0,2,27,0,0,12,151,1,0,0,0
Marcedes Lewis,14,19.00,0,0,0,0,0,0,0,0,0,0,6,66,2,1,0,0
Eric Saubert,9,18.00,0,0,0,0,0,0,0,0,0,0,15,148,1,0,0,0
Eric Tomlinson,9,18.00,0,0,0,0,0,0,0,0,0,0,9,79,2,0,0,0
Donald Parham,8,17.00,0,0,0,0,0,0,0,0,0,0,10,130,1,0,0,0
Lawrence Cager,9,16.00,0,0,0,0,0,0,0,0,0,0,13,118,1,0,0,0
Mitchell Wilcox,10,16.00,0,0,0,0,0,0,0,0,0,0,17,139,1,0,0,0
Ross Dwelley,9,15.00,0,0,0,0,0,0,0,0,0,0,3,105,1,0,0,0
John Mundt,7,15.00,0,0,0,0,0,0,0,0,0,0,19,140,1,0,0,0
Ian Thomas,13,15.00,0,0,0,0,0,0,0,0,0,0,21,197,0,0,0,0
James Mitchell,6,14.00,0,0,0,0,0,0,0,0,0,0,11,113,1,0,0,0
Albert Okwuegbunam,9,14.00,0,0,0,0,0,0,0,0,0,0,10,95,1,0,0,0
John Bates,14,13.00,0,0,0,0,0,0,0,0,0,0,14,108,1,0,0,0
Cameron Brate,11,13.00,0,0,0,0,0,0,0,0,0,0,20,174,0,0,0,0
Tanner Hudson,10,11.00,0,0,0,0,0,0,0,0,0,0,10,132,0,0,0,0
Quintin Morris,7,11.00,0,0,0,0,0,0,0,0,0,0,8,84,1,0,1,0
Pharaoh Brown,9,10.00,0,0,0,0,0,0,0,0,0,0,12,117,0,0,0,0
Zach Gentry,9,10.00,0,0,0,0,0,0,0,0,0,0,19,132,0,0,0,0
Ko Kieft,11,10.00,0,0,0,0,0,0,0,0,0,0,7,80,1,0,0,0
Jack Stoll,7,10.00,0,0,0,0,0,0,0,0,0,0,11,123,0,0,0,0
Brycen Hopkins,7,9.00,0,0,0,0,0,0,0,0,0,0,7,109,0,0,0,0
Brevin Jordan,6,9.00,0,0,0,0,0,0,0,0,0,0,14,128,0,0,0,0
Dan Arnold,11,8.00,0,0,0,0,0,0,0,0,0,0,9,135,0,0,0,0
Anthony Firkser,14,8.00,0,0,0,0,0,0,0,0,0,0,9,100,0,0,0,0
Geoff Swaim,6,8.00,0,0,0,0,0,0,0,0,0,0,12,58,1,0,0,0
Blake Bell,8,7.00,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
Grant Calcaterra,7,7.00,0,0,0,0,0,0,0,0,0,0,5,81,0,0,0,0
Josiah Deguara,14,7.00,0,0,0,0,0,0,0,0,0,0,13,114,0,0,0,0
Giovanni Ricci,13,7.00,0,0,0,0,0,0,0,0,0,0,8,100,0,0,0,0
Armani Rogers,14,7.00,0,0,0,0,0,0,2,26,0,0,5,64,0,0,0,0
Kyle Rudolph,11,7.00,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0
Tyler Mabry,11,6.00,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
Tre' McKitty,8,5.00,0,0,0,0,0,0,0,0,0,0,10,72,0,0,0,0
Charlie Kolar,10,4.00,0,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0
Stephen Sullivan,13,4.00,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0
Trevon Wesco,14,4.00,0,0,0,0,0,0,0,0,0,0,2,26,0,1,0,0
Luke Farrell,11,3.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Parker Hesse,14,3.00,0,0,0,0,0,0,0,0,0,0,9,89,0,0,0,0
Tyler Kroft,9,3.00,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
Chris Manhertz,11,3.00,0,0,0,0,0,0,0,0,0,0,6,42,0,0,0,0
Kendall Blanton,8,2.00,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
Tyler Davis,14,2.00,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
Ben Ellefson,7,2.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Cole Turner,14,2.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Nick Vannett,9,2.00,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,0
Ryan Griffin,14,1.00,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
Jesper Horsted,6,1.00,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
Sean McKeon,9,1.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Maxx Williams,13,1.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Stephen Anderson,13,0.00,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0
Devin Asiasi,10,0.00,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Feleipe Franks,14,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jacob Harris,7,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Richard Rodgers,8,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jeremy Ruckert,10,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Drew Sample,10,0.00,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,0,0
Mason Schreck,6,0.00,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
Stone Smartt,8,0.00,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0
Tommy Sweeney,7,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
