
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jordy Nelson,4,201.00,0,0,0,0,0,0,0,0,0,0,97,"1,257",14,0,1,0
Mike Evans,6,200.00,0,0,0,0,0,0,0,0,0,0,96,"1,321",12,2,0,0
Antonio Brown,8,193.00,0,0,0,0,0,0,3,9,0,0,106,"1,284",12,0,0,0
Odell Beckham Jr.,8,189.00,0,0,0,0,0,0,1,9,0,0,101,"1,367",10,0,1,0
T.Y. Hilton,10,176.00,0,0,0,0,0,0,0,0,0,0,91,"1,448",6,1,0,0
Julio Jones,11,170.00,0,0,0,0,0,0,0,0,0,0,83,"1,409",6,0,0,0
Davante Adams,4,167.00,0,0,0,0,0,0,0,0,0,0,75,997,12,1,1,0
Brandin Cooks,5,159.00,0,0,0,0,0,0,6,30,0,0,78,"1,173",8,0,0,0
Michael Thomas,5,159.00,0,0,0,0,0,0,0,0,0,0,92,"1,137",9,0,2,0
Doug Baldwin,5,154.00,1,1,15,1,0,0,3,2,0,0,94,"1,128",7,0,0,0
Michael Crabtree,10,144.00,0,0,0,0,0,0,0,0,0,0,89,"1,003",8,1,0,0
Rishard Matthews,13,142.00,0,0,0,0,0,0,0,0,0,0,65,945,9,0,1,0
Tyrell Williams,11,142.00,0,0,0,0,0,0,0,0,0,0,69,"1,059",7,0,0,0
Amari Cooper,10,139.00,0,0,0,0,0,0,1,0,0,0,83,"1,153",5,2,0,0
Larry Fitzgerald,9,132.00,1,0,0,0,0,0,2,5,0,0,107,"1,023",6,0,1,0
Demaryius Thomas,11,132.00,0,0,0,0,0,0,0,0,0,0,90,"1,083",5,1,2,0
Jarvis Landry,8,130.00,1,0,0,0,0,0,5,17,0,0,94,"1,136",4,1,2,0
Kelvin Benjamin,7,129.00,0,0,0,0,0,0,0,0,0,0,63,941,7,0,1,0
Dez Bryant,7,129.00,1,1,10,1,0,0,0,0,0,0,50,796,8,0,1,0
Tyreek Hill,5,127.00,0,0,0,0,0,0,24,267,3,0,61,593,6,0,1,0
Terrelle Pryor,13,127.00,9,5,41,0,0,0,8,21,1,0,77,"1,007",4,1,0,0
